,WeekDay,Director,Genre,MovieTitle,ReleaseDate,Studio,AdjustedGrossMillions,BudgetMillions,GrossMillions,IMDbRating,MovieLensRating,OverseasMillions,OverseasPercent,ProfitMillions,ProfitPercent,RuntimeMins,USMillions,GrossPercentUS
112,Wednesday,David Soren,animation,Turbo,17/07/2013,Fox,288.5,135.0,282.6,6.5,2.94,199.5,70.6,147.6,109.3,96,83.0,29.4
115,Friday,Walt Becker,action,Wild Hogs,2/03/2007,Buena Vista Studios,290.9,60.0,253.6,5.9,2.79,85.4,33.7,193.6,322.7,100,168.3,66.3
117,Friday,Joseph Kosinski,action,Oblivion,19/04/2013,Universal,292.2,120.0,286.2,7.0,3.5,197.1,68.9,166.2,138.5,124,89.1,31.1
118,Friday,Donald Petrie,comedy,Miss Congeniality,22/12/2000,WB,293.7,45.0,212.7,6.1,3.04,105.9,49.8,167.7,372.7,109,106.8,50.2
120,Friday,Stefen Fangmeier,action,Eragon,15/12/2006,Fox,294.3,100.0,249.5,5.1,2.63,174.5,69.9,149.5,149.5,104,75.0,30.1
123,Friday,Tom Shadyac,comedy,Patch Adams,25/12/1998,Universal,295.1,90.0,202.3,6.6,3.15,67.3,33.3,112.3,124.8,115,135.0,66.7
126,Wednesday,"Ron Clements, John Musker",animation,The Princess and the Frog,25/11/2009,Buena Vista Studios,296,105.0,267,7.2,3.59,162.6,60.9,162,154.3,97,104.4,39.1
127,Friday,Dennis Dugan,comedy,Grown Ups,25/06/2010,Sony,296,75.0,271.4,6.0,2.81,109.4,40.3,196.4,261.9,102,162.0,59.7
128,Wednesday,Roland Emmerich,action,The Patriot,28/06/2000,Sony,297.3,110.0,215.3,6.1,3.22,102,47.4,105.3,95.7,165,113.3,52.6
129,Friday,Martin Campbell,action,Vertical Limit,8/12/2000,Sony,297.9,75.0,215.7,5.8,2.85,146.4,67.9,140.7,187.6,124,69.2,32.1
130,Friday,Roland Emmerich,action,"10,000 B.C.",7/03/2008,WB,298,105.0,269.8,5.0,2.53,175,64.9,164.8,157.0,109,94.8,35.1
131,Friday,Clint Eastwood,drama,Gran Torino,12/12/2008,WB,298.2,33.0,270,8.2,3.99,121.9,45.1,237,718.2,116,148.1,54.9
132,Friday,Jesse Dylan,comedy,American Wedding,1/08/2003,Universal,299.1,55.0,231.4,7.6,3.85,126.9,54.8,176.4,320.7,96,104.6,45.2
134,Wednesday,Peter Hyams,action,End of Days,24/11/1999,Universal,302.6,100.0,212,5.7,2.68,145.1,68.4,112,112.0,121,66.9,31.6
136,Friday,Florian Henckel von Donnersmarck,action,The Tourist,10/12/2010,Sony,303.5,100.0,278.3,6.0,3.08,210.7,75.7,178.3,178.3,103,67.6,24.3
137,Friday,Paul Feig,comedy,Bridesmaids,13/05/2011,Universal,304.9,32.5,288.4,6.8,3.53,119.3,41.4,255.9,787.4,125,169.1,58.6
138,Friday,John Singleton,action,2 Fast 2 Furious,6/06/2003,Universal,305.5,76.0,236.4,5.8,2.5,109.2,46.2,160.4,211.1,107,127.2,53.8
139,Friday,Ridley Scott,drama,American Gangster,2/11/2007,Universal,305.7,100.0,266.5,7.8,3.83,136.3,51.2,166.5,166.5,157,130.2,48.8
140,Friday,Zack Snyder,action,Superman,14/06/2013,WB,306.4,55.0,300.2,7.3,3.38,166,55.3,245.2,445.8,143,134.2,44.7
141,Friday,Larry Charles,comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,3/11/2006,Fox,308.6,18.0,261.6,7.3,3.5,133.1,50.9,243.6,1353.3,84,128.5,49.1
142,Friday,Josh Boone,drama,The Fault in our Stars,6/06/2014,Fox,308.6,12.0,307.2,7.9,3.58,182.4,59.4,295.2,2460.0,126,124.9,40.6
144,Thursday,John Moore,action,A Good Day to Die Hard,14/02/2013,Fox,311,92.0,304.7,5.3,2.59,237.3,77.9,212.7,231.2,98,67.3,22.1
145,Friday,"Paul Tibbitt, Mike Mitchell",animation,The SpongeBob Movie: Sponge Out of Water,6/02/2015,Paramount Pictures,311.6,74.0,311.6,6.2,2.25,148.6,47.7,237.6,321.1,92,163.0,52.3
146,Friday,Peter Berg,action,Battleship,18/05/2012,Universal,313.8,209.0,303,5.9,2.83,237.6,78.4,94,45.0,131,65.4,21.6
148,Friday,Jonathan Liebesman,action,Wrath of the Titans,30/03/2012,WB,316.2,150.0,305.3,5.8,2.78,221.6,72.6,155.3,103.5,99,83.7,27.4
150,Friday,Shawn Levy,action,Real Steel,7/10/2011,Buena Vista Studios,316.4,110.0,299.3,6.3,3.28,213.8,71.4,189.3,172.1,127,85.5,28.6
151,Friday,Steven Spielberg,adventure,A.I. Artificial Intelligence,29/06/2001,WB,316.8,90.0,235.9,7.1,3.21,157.3,66.7,145.9,162.1,146,78.6,33.3
152,Wednesday,Barry Sonnenfeld,action,Wild Wild West,30/06/1999,WB,317,175.0,222.1,4.8,2.31,108.3,48.8,47.1,26.9,106,113.8,51.2
153,Friday,Ang Lee,action,Hulk,20/06/2003,Universal,317.2,137.0,245.4,5.7,2.69,113.2,46.1,108.4,79.1,138,132.2,53.9
154,Friday,"Chris Wedge, Carlos Saldanha",animation,Robots,11/03/2005,Fox,317.4,80.0,260.7,6.3,3.28,132.5,50.8,180.7,225.9,91,128.2,49.2
157,Friday,Richard Curtis,comedy,Love Actually,7/11/2003,Universal,319.1,45.0,246.9,7.7,3.8,187.2,75.8,201.9,448.7,135,59.7,24.2
158,Friday,Phillip Noyce,action,Salt,23/07/2010,Sony,320.1,110.0,293.5,6.4,3.33,175.2,59.7,183.5,166.8,100,118.3,40.3
159,Friday,Curtis Hanson,drama,8 Mile,8/11/2002,Universal,321.1,41.0,242.9,6.9,3.25,126.1,51.9,201.9,492.4,110,116.8,48.1
160,Friday,Martin Scorsese,drama,Shutter Island,19/02/2010,Paramount Pictures,321.5,80.0,294.8,8.1,3.91,166.8,56.6,214.8,268.5,138,128.0,43.4
163,Friday,"Aaron Blaise, Robert A. Walker",animation,Brother Bear,24/10/2003,Buena Vista Studios,323.6,18.0,250.4,6.7,3.17,165.1,65.9,232.4,1291.1,82,85.3,34.1
