,WeekDay,Director,Genre,MovieTitle,ReleaseDate,Studio,AdjustedGrossMillions,BudgetMillions,GrossMillions,IMDbRating,MovieLensRating,OverseasMillions,OverseasPercent,ProfitMillions,ProfitPercent,RuntimeMins,USMillions,GrossPercentUS
292,Friday,Cameron Crowe,comedy,Jerry Maguire,13/12/1996,Sony,414.7,50.0,273.6,7.3,3.63,119.6,43.7,223.6,447.2,139,154.0,56.3
293,Friday,Tom Shadyac,comedy,The Nutty Professor,28/06/1996,Universal,415.3,55.0,274,5.5,2.91,145.1,53.0,219,398.2,95,128.8,47.0
294,Wednesday,Jay Roach,comedy,Meet the Parents,22/12/2004,Universal,415.9,60.0,330.4,7.0,3.46,164.2,49.7,270.4,450.7,115,166.2,50.3
295,Friday,Richard Donner,action,Lethal Weapon 4,10/07/1998,WB,416.4,140.0,285.4,6.6,3.12,155,54.3,145.4,103.9,127,130.4,45.7
297,Friday,Ridley Scott,adventure,Prometheus,8/06/2012,Fox,417.8,125.0,403.4,7.0,3.43,276.9,68.6,278.4,222.7,124,126.5,31.4
298,Friday,Guillermo del Toro,action,Pacific Rim,12/07/2013,WB,419.6,190.0,411,6.1,2.78,309.2,75.2,221,116.3,131,101.8,24.8
303,Wednesday,"Carlos Saldanha, Michael Thurmeier",animation,Ice Age,1/07/2009,Fox,424.9,90.0,383.3,7.6,3.61,206.9,54.0,293.3,325.9,94,176.4,46.0
305,Friday,Joe Johnston,adventure,"Honey, I Shrunk the Kids",23/06/1989,Buena Vista Studios,427.1,18.0,222.7,6.2,2.69,92,41.3,204.7,1137.2,93,130.7,58.7
307,Friday,Rob Minkoff,adventure,Stuart Little,17/12/1999,Sony,428.4,133.0,300.1,5.9,2.91,160.1,53.3,167.1,125.6,84,140.0,46.7
309,Friday,Ivan Reitman,comedy,Twins,9/12/1988,Universal,435.4,15.0,216.6,5.9,2.82,104.7,48.3,201.6,1344.0,105,111.9,51.7
310,Friday,Joseph Kosinski,action,Tron Legacy,17/12/2010,Buena Vista Studios,436.3,200.0,400.1,6.8,3.38,228,57.0,200.1,100.1,125,172.1,43.0
311,Wednesday,Renny Harlin,action,Die Hard 2: Die Harder,4/07/1990,Fox,436.7,70.0,240,7.1,3.42,122.5,51.0,170,242.9,124,117.5,49.0
312,Friday,Richard Donner,action,Lethal Weapon 2,7/07/1989,WB,437.1,25.0,227.9,7.2,3.29,80.6,35.4,202.9,811.6,114,147.3,64.6
314,Friday,Jon Turteltaub,adventure,National Treasure,19/11/2004,Buena Vista Studios,437.5,100.0,347.5,6.9,3.42,174.5,50.2,247.5,247.5,131,173.0,49.8
315,Wednesday,Adrian Lyne,drama,Indecent Proposal,7/04/1993,Paramount Pictures,438.7,38.0,266.6,5.8,2.85,160,60.0,228.6,601.6,117,106.6,40.0
316,Wednesday,Len Wiseman,action,Live Free or Die Hard,27/06/2007,Fox,439.9,110.0,383.5,7.2,3.58,249,64.9,273.5,248.6,128,134.5,35.1
318,Friday,Brad Peyton,action,San Andreas,29/05/2015,WB,441.2,110.0,441.2,6.6,2.84,299.2,67.8,331.2,301.1,114,142.0,32.2
319,Friday,Garry Marshall,comedy,Runaway Bride,30/07/1999,Paramount Pictures,441.8,70.0,309.5,6.6,3.46,157.2,50.8,239.5,342.1,116,152.3,49.2
320,Friday,Rob Cohen,action,The Mummy: Tomb of the Dragon Emperor,1/08/2008,Universal,443,175.0,401.1,5.2,2.63,298.6,74.4,226.1,129.2,112,102.5,25.6
321,Friday,P. J. Hogan,comedy,My Best Friend's Wedding,20/06/1997,Sony,443.5,46.0,299.3,7.1,3.33,172.2,57.5,253.3,550.7,105,127.1,42.5
322,Friday,"Barry Cook, Tony Bancroft",animation,Mulan,19/06/1998,Buena Vista Studios,444,90.0,304.3,7.5,2.84,183.7,60.4,214.3,238.1,88,120.6,39.6
324,Thursday,Robert Zemeckis,action,Back to the Future Part III,24/05/1990,Universal,444.9,40.0,244.5,7.4,3.24,156.8,64.1,204.5,511.3,118,87.7,35.9
327,Friday,Andy Tennant,comedy,Hitch,11/02/2005,Sony,448.2,55.0,368.1,8.2,3.94,188.6,51.2,313.1,569.3,118,179.5,48.8
328,Friday,Tom Shadyac,comedy,Liar Liar,21/03/1997,Universal,448.5,45.0,302.7,6.8,3.21,121.3,40.1,257.7,572.7,86,181.4,59.9
329,Friday,"Brad Silberling, Phil Nibbelink",comedy,Casper,26/05/1995,Universal,449.2,55.0,287.9,6.0,2.9,187.6,65.2,232.9,423.5,100,100.3,34.8
332,Friday,Tim Burton,action,Batman Returns,19/06/1992,WB,452.2,80.0,266.8,7.0,3.09,104,39.0,186.8,233.5,126,162.8,61.0
333,Friday,Peter Weir,drama,Dead Poets Society,2/06/1989,Buena Vista Studios,452.4,16.4,235.9,8.0,3.89,140,59.4,219.5,1338.4,128,95.9,40.6
334,Friday,"George Miller, Warren Coleman, Judy Morris",animation,Happy Feet,17/11/2006,WB,453.3,85.0,384.3,6.5,3.13,186.3,48.5,299.3,352.1,108,198.0,51.5
335,Friday,Michael Apted,adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader,10/12/2010,Fox,453.3,155.0,415.7,6.4,3.36,311.3,74.9,260.7,168.2,113,104.4,25.1
336,Friday,Wolfgang Petersen,action,The Perfect Storm,30/06/2000,WB,453.9,120.0,328.7,6.4,3.08,146.1,44.4,208.7,173.9,130,182.6,55.6
337,Wednesday,Christopher Nolan,action,Batman Begins,15/06/2005,WB,455.6,150.0,374.2,8.3,3.97,167.4,44.7,224.2,149.5,140,206.9,55.3
339,Tuesday,Tom Hooper,drama,Les Miserables (2012),25/12/2012,Universal,457.6,61.0,441.8,6.0,2.92,293,66.3,380.8,624.3,158,148.8,33.7
340,Friday,Shawn Levy,comedy,Night at the Museum: Battle of the Smithsonian,22/05/2009,Fox,457.9,150.0,413.1,5.9,3.01,235.9,57.1,263.1,175.4,104,177.2,42.9
342,Friday,Gavin Hood,action,The Wolverine,1/05/2009,Fox,459.8,150.0,414.8,6.7,3.24,282.3,68.0,264.8,176.5,107,132.6,32.0
343,Friday,Luc Besson,action,Lucy,25/07/2014,Universal,461,40.0,458.9,6.4,3.05,332.2,72.4,418.9,1047.3,89,126.7,27.6
344,Wednesday,Bryan Singer,action,Superman Returns,28/06/2006,WB,461.3,232.0,391.1,6.1,3.12,191,48.8,159.1,68.6,154,200.1,51.2
346,Friday,Andrew Adamson,action,The Chronicles of Narnia: Prince Caspian,16/05/2008,Buena Vista Studios,463.6,225.0,419.7,6.6,3.31,278,66.3,194.7,86.5,150,141.6,33.7
348,Wednesday,James L. Brooks,comedy,As Good as It Gets,24/12/1997,Sony,465.5,50.0,314.2,7.8,3.79,165.7,52.7,264.2,528.4,139,148.5,47.3
350,Friday,Wolfgang Petersen,action,Air Force One,25/07/1997,Sony,467,85.0,315.2,6.4,3.33,142.2,45.1,230.2,270.8,124,173.0,54.9
352,Friday,J. J. Abrams,action,Mission: Impossible III,5/05/2006,Paramount Pictures,469.4,150.0,397.9,6.8,3.31,263.8,66.3,247.9,165.3,126,134.0,33.7
353,Friday,"Phil Lord, Chris Miller",animation,The LEGO Movie,7/02/2014,WB,470.9,60.0,468.8,7.8,3.75,211,45.0,408.8,681.3,100,257.8,55.0
356,Friday,Kenneth Branagh,action,Thor,6/05/2011,Paramount Pictures,475,150.0,449.3,7.0,3.51,268.3,59.7,299.3,199.5,115,181.0,40.3
357,Friday,Paul Verhoeven,action,Total Recall,1/06/1990,Sony,475.4,65.0,261.3,7.5,3.18,141.9,54.3,196.3,302.0,113,119.4,45.7
359,Friday,Ron Howard,comedy,How the Grinch Stole Christmas,17/11/2000,Universal,476.6,123.0,345.1,6.0,2.91,85.1,24.7,222.1,180.6,104,260.0,75.3
360,Wednesday,J. J. Abrams,action,Star Trek Into Darkness,15/05/2013,Paramount Pictures,477.1,190.0,467.4,7.8,3.82,238.6,51.1,277.4,146.0,132,228.8,48.9
361,Wednesday,"John Cornell, Mark Turnbull",action,Crocodile Dundee II,25/05/1988,Paramount Pictures,481.6,14.0,239.6,5.5,2.57,130.3,54.4,225.6,1611.4,108,109.3,45.6
362,Friday,"Eric Leighton, Ralph Zondag",animation,Dinosaur,19/05/2000,Buena Vista Studios,483.1,127.5,349.8,6.4,3.12,212.1,60.6,222.3,174.4,82,137.7,39.4
363,Wednesday,Stephen Herek,animation,101 Dalmatians (1996),27/11/1996,Buena Vista Studios,486.1,75.0,320.7,5.6,3.1,184.5,57.5,245.7,327.6,103,136.2,42.5
364,Friday,Tim Burton,action,Planet of the Apes (2001),27/07/2001,Fox,486.4,100.0,362.2,5.7,2.74,182.2,50.3,262.2,262.2,119,180.0,49.7
365,Friday,Jonathan Liebesman,action,Teenage Mutant Ninja Turtles (2014),8/08/2014,Paramount Pictures,487.2,125.0,485,7.9,3.84,293.8,60.6,360,288.0,101,191.2,39.4
367,Friday,Rob Cohen,action,Fast and Furious,22/06/2001,Universal,487.7,38.0,363.2,6.7,2.88,208.1,57.3,325.2,855.8,106,155.1,42.7
368,Friday,Rich Moore,animation,Wreck-It Ralph,2/11/2012,Buena Vista Studios,488.1,165.0,471.2,7.8,3.82,281.8,59.8,306.2,185.6,101,189.4,40.2
369,Wednesday,Betty Thomas,animation,Alvin and the Chipmunks: The Squeakquel,23/12/2009,Fox,491.2,70.0,443.1,4.4,2.13,223.5,50.4,373.1,533.0,88,219.6,49.6
370,Friday,"Gary Trousdale, Kirk Wise",animation,The Hunchback of Notre Dame,21/06/1996,Buena Vista Studios,493,100.0,325.3,6.8,3.3,225.2,69.2,225.3,225.3,91,100.1,30.8
372,Wednesday,Joe Johnston,action,Jurassic Park III,18/07/2001,Universal,495.2,93.0,368.8,5.9,2.65,187.6,50.9,275.8,296.6,92,181.2,49.1
373,Friday,Carlos Saldanha,animation,Rio 2,11/04/2014,Fox,502.5,130.0,500.2,6.4,3.08,368.7,73.7,370.2,284.8,101,131.5,26.3
374,Friday,Sam Raimi,adventure,Oz The Great and Powerful,8/03/2013,Buena Vista Studios,503.6,200.0,493.3,6.4,2.99,258.4,52.4,293.3,146.7,130,234.9,47.6
375,Friday,Michael Bay,action,The Rock,7/06/1996,Buena Vista Studios,507.9,75.0,335.1,7.4,3.7,201,60.0,260.1,346.8,136,134.1,40.0
376,Friday,Paul Greengrass,action,The Bourne Ultimatum,3/08/2007,Universal,508,130.0,442.8,8.1,3.98,215.4,48.6,312.8,240.6,115,227.5,51.4
379,Friday,Mimi Leder,action,Deep Impact,8/05/1998,Paramount Pictures,509.9,80.0,349.5,6.1,2.95,209,59.8,269.5,336.9,120,140.5,40.2
381,Friday,Carlos Saldanha,animation,Rio,15/04/2011,Fox,512.3,90.0,484.6,7.0,3.36,341,70.4,394.6,438.4,96,143.6,29.6
383,Friday,Nancy Meyers,comedy,What Women Want,15/12/2000,Paramount Pictures,516.6,65.0,374.1,6.4,3.14,191.3,51.1,309.1,475.5,127,182.8,48.9
384,Friday,Todd Phillips,comedy,The Hangover,5/06/2009,WB,518.2,35.0,467.5,7.8,3.77,190.2,40.7,432.5,1235.7,100,277.3,59.3
385,Friday,Roger Michell,comedy,Notting Hill,28/05/1999,Universal,519.4,42.0,363.9,7.0,3.45,247.8,68.1,321.9,766.4,124,116.1,31.9
386,Friday,Zack Snyder,action,300,9/03/2007,WB,523.2,60.0,456.1,7.8,3.68,245.5,53.8,396.1,660.2,117,210.6,46.2
387,Friday,Jon Turteltaub,action,National Treasure: Book of Secrets,21/12/2007,Buena Vista Studios,524.7,130.0,457.4,6.5,3.3,237.4,51.9,327.4,251.9,124,220.0,48.1
388,Friday,Joel Schumacher,action,Batman Forever,16/06/1995,WB,525.1,100.0,336.5,5.4,2.92,152.5,45.3,236.5,236.5,121,184.0,54.7
390,Thursday,Bryan Singer,action,X2: X-Men United,24/04/2003,Fox,526.9,110.0,407.7,7.5,3.68,192.8,47.3,297.7,270.6,134,214.9,52.7
392,Wednesday,John Lasseter,animation,A Bug's Life,25/11/1998,Buena Vista Studios,530.2,120.0,363.4,7.2,3.61,200.6,55.2,243.4,202.8,96,162.8,44.8
393,Friday,Gareth Edwards,action,Godzilla (2014),16/05/2014,WB,531.1,160.0,528.7,6.5,2.96,328,62.0,368.7,230.4,123,200.7,38.0
394,Friday,Louis Leterrier,action,Clash of the Titans,2/04/2010,WB,537.9,125.0,493.2,5.8,2.8,330,66.9,368.2,294.6,106,163.2,33.1
396,Friday,Kenneth Branagh,drama,Cinderella,13/03/2015,Buena Vista Studios,539,95.0,539,7.3,3.48,338.7,62.8,444,467.4,105,200.3,37.2
397,Friday,M. Night Shyamalan,drama,Signs,2/08/2002,Buena Vista Studios,539.6,70.7,408.2,6.7,3.27,180.3,44.2,337.5,477.4,106,228.0,55.8
398,Wednesday,"Bobby Farrelly, Peter Farrelly",comedy,There's Something About Mary,15/07/1998,Fox,539.7,22.0,369.9,7.1,3.55,193.4,52.3,347.9,1581.4,119,176.5,47.7
400,Friday,"Mike Babriel, Eric Goldberg",animation,Pocahontas,23/06/1995,Buena Vista Studios,540.1,75.0,346.1,6.6,2.94,204.5,59.1,271.1,361.5,81,141.6,40.9
401,Friday,Brett Ratner,action,X-Men: The Last Stand,26/05/2006,Fox,541.9,150.0,459.4,6.8,3.36,225,49.0,309.4,206.3,104,234.4,51.0
402,Friday,"John Lasseter, Joe Ranft",animation,Cars,9/06/2006,Buena Vista Studios,545,70.0,462,7.2,3.51,217.9,47.2,392,560.0,117,244.1,52.8
403,Friday,Richard Donner,action,Lethal Weapon 3,15/05/1992,WB,545.3,35.0,321.7,6.7,3.28,177,55.0,286.7,819.1,118,144.7,45.0
404,Friday,Brian Levant,comedy,The Flintstones,27/05/1994,Universal,548.1,45.0,341.6,4.8,2.43,211.1,61.8,296.6,659.1,91,130.5,38.2
406,Thursday,Clint Eastwood,action,American Sniper,25/12/2014,WB,549.6,58.0,547.1,7.4,3.5,197,36.0,489.1,843.3,132,350.1,64.0
409,Wednesday,Gareth Edwards,action,Godzilla,20/05/1998,Sony,552.9,160.0,379,6.5,2.96,242.7,64.0,219,136.9,123,136.3,36.0
410,Friday,Ron Howard,adventure,Apollo 13,30/06/1995,Universal,554.3,65.0,355.2,7.6,3.88,181.4,51.1,290.2,446.5,140,173.8,48.9
411,Friday,Richard Stanley,drama,Brave,22/06/2012,Buena Vista Studios,558.3,185.0,539,7.2,3.59,301.7,56.0,354,191.4,50,237.3,44.0
412,Friday,Stephen Sommers,action,The Mummy,4/05/2001,Universal,558.5,98.0,415.9,7.0,1.5,260.5,62.6,317.9,324.4,130,155.4,37.4
413,Tuesday,Jonathan Mostow,action,Terminator 3: Rise of the Machines,1/07/2003,WB,560.1,170.0,433.4,6.4,3.12,283,65.3,263.4,154.9,109,150.4,34.7
414,Friday,Greg MacGillivray,action,Speed,10/06/1994,Fox,562.3,30.0,350.4,7.2,3.5,229.2,65.4,320.4,1068.0,30,121.2,34.6
416,Wednesday,John Lasseter,animation,Toy Story,22/11/1995,Buena Vista Studios,564.9,30.0,362,8.3,3.92,170.2,47.0,332,1106.7,80,191.8,53.0
417,Friday,Seth MacFarlane,comedy,Ted,29/06/2012,Universal,569,50.0,549.4,7.0,3.35,330.6,60.2,499.4,998.8,106,218.8,39.8
419,Friday,Sam Taylor-Wood,drama,Fifty Shades of Grey,13/02/2015,Universal,569.7,40.0,569.7,4.2,1.95,403.5,70.8,529.7,1324.3,125,166.2,29.2
421,Friday,John McTiernan,action,Die Hard: With A Vengeance,19/05/1995,Fox,571.3,90.0,366.1,7.6,3.49,266.1,72.7,276.1,306.8,131,100.0,27.3
422,Friday,Andrew Stanton,animation,WALL-E,27/06/2008,Buena Vista Studios,575.8,180.0,521.3,8.4,4.04,297.5,57.1,341.3,189.6,98,223.8,42.9
423,Friday,Guy Ritchie,action,Sherlock Holmes: A Game of Shadows,16/12/2011,WB,576.6,125.0,545.4,7.5,3.8,358.6,65.7,420.4,336.3,129,186.8,34.3
424,Friday,Shawn Levy,adventure,Night at the Museum,19/12/2014,Fox,577.1,127.0,574.5,6.4,3.13,323.6,56.3,447.5,352.4,98,250.9,43.7
425,Friday,Tim Burton,adventure,Charlie and the Chocolate Factory,15/07/2005,WB,578.4,150.0,475,6.7,3.36,268.5,56.5,325,216.7,115,206.5,43.5
426,Wednesday,John Landis,comedy,Coming to America,29/06/1988,Paramount Pictures,580.5,39.0,288.8,6.9,3.5,160.6,55.6,249.8,640.5,116,128.2,44.4
427,Friday,Guy Ritchie,action,Sherlock Holmes,25/12/2009,WB,580.8,90.0,524,7.6,3.79,315,60.1,434,482.2,128,209.0,39.9
428,Friday,Stephen Sommers,action,The Mummy Returns,4/05/2001,Universal,581.4,98.0,433,6.3,2.94,231,53.3,335,341.8,130,202.0,46.7
429,Friday,Doug Liman,action,Mr. & Mrs. Smith,10/06/2005,Fox,582.3,110.0,478.2,6.5,3.26,291.9,61.0,368.2,334.7,120,186.3,39.0
430,Wednesday,Barry Sonnenfeld,action,Men in Black II,3/07/2002,Sony,584,140.0,441.8,7.6,3.61,251.4,56.9,301.8,215.6,88,190.4,43.1
432,Friday,Edward Zwick,action,The Last Samurai,5/12/2003,WB,590.4,120.0,456.8,7.7,3.7,345.6,75.7,336.8,280.7,154,111.1,24.3
433,Friday,"Brad Lewis, John Lasseter",animation,Cars 2,24/06/2011,Buena Vista Studios,591.9,200.0,559.9,6.3,3.05,368.4,65.8,359.9,180.0,106,191.5,34.2
434,Friday,"Chris Renaud, Pierre Coffin",animation,Despicable Me,9/07/2010,Universal,592.3,69.0,543.1,7.7,3.81,291.6,53.7,474.1,687.1,95,251.5,46.3
435,Friday,Robert Zemeckis,adventure,Cast Away,22/12/2000,Fox,593.3,85.0,429.6,7.7,3.62,196,45.6,344.6,405.4,143,233.6,54.4
436,Friday,Raja Gosnell,animation,The Smurfs,29/07/2011,Sony,595.9,110.0,563.7,5.5,2.43,421.1,74.7,453.7,412.5,103,142.6,25.3
438,Friday,"Kirk DeMicco, Chris Sanders",animation,The Croods,22/03/2013,Fox,599.4,135.0,587.2,7.3,3.41,400,68.1,452.2,335.0,98,187.2,31.9
439,Friday,Michael Bay,action,Pearl Harbor,25/05/2001,Buena Vista Studios,603.2,151.5,449.2,6.0,2.85,250.7,55.8,297.7,196.5,183,198.5,44.2
440,Friday,David Silverman,animation,The Simpsons Movie,27/07/2007,Fox,604.7,72.5,527.1,7.4,3.51,343.9,65.3,454.6,627.0,87,183.1,34.7
442,Friday,Andrew Davis,action,The Fugitive,6/08/1993,WB,607.1,44.0,368.9,7.8,3.99,185,50.2,324.9,738.4,130,183.9,49.8
443,Friday,James Cameron,action,True Lies,15/07/1994,Fox,608,100.0,378.9,7.2,3.5,232.6,61.4,278.9,278.9,141,146.3,38.6
444,Friday,Chris Columbus,comedy,Home Alone 2: Lost in New York,20/11/1992,Fox,608.5,20.0,359,6.5,2.52,185.4,51.6,339,1695.0,120,173.6,48.4
445,Thursday,Todd Phillips,comedy,The Hangover Part II,26/05/2011,WB,620.4,80.0,586.8,6.5,3.09,332.3,56.6,506.8,633.5,102,254.5,43.4
446,Friday,Dean DeBlois,animation,How to Train Your Dragon 2,13/06/2014,Fox,621.7,145.0,618.9,7.9,3.73,441.9,71.4,473.9,326.8,102,177.0,28.6
447,Friday,Wolfgang Petersen,action,Troy,14/05/2004,WB,626.2,150.0,497.4,7.2,3.32,364,73.2,347.4,231.6,163,133.4,26.8
448,Friday,Tom Shadyac,comedy,Bruce Almighty,23/05/2003,Universal,626.3,81.0,484.6,6.7,3.22,241.8,49.9,403.6,498.3,101,242.8,50.1
449,Wednesday,Tony Scott,action,Beverly Hills Cop II,20/05/1987,Paramount Pictures,628,20.0,300,6.4,3.07,146.3,48.8,280,1400.0,100,153.7,51.2
450,Wednesday,Ang Lee,adventure,Life of Pi,21/11/2012,Fox,630.8,120.0,609,8.0,3.8,484,79.5,489,407.5,127,125.0,20.5
452,Wednesday,John Woo,action,Mission: Impossible,24/05/2000,Paramount Pictures,632.1,120.0,457.7,7.1,3.39,276.7,60.5,337.7,281.4,123,181.0,39.5
453,Wednesday,Robert Zemeckis,adventure,Back to the Future Part II,22/11/1989,Universal,636.7,40.0,332,7.8,3.44,213.5,64.3,292,730.0,108,118.5,35.7
454,Wednesday,"Kevin Lima, Chris Buck",animation,Tarzan,16/06/1999,Buena Vista Studios,639.8,130.0,448.2,7.2,3.46,277.1,61.8,318.2,244.8,88,171.1,38.2
455,Wednesday,"Byron Howard, Nathan Greno",animation,Tangled,24/11/2010,Buena Vista Studios,645.4,260.0,591.8,7.8,3.85,391,66.1,331.8,127.6,100,200.8,33.9
456,Friday,Barry Sonnenfeld,action,MIB 3,25/05/2012,Sony,646.3,215.0,624,6.9,3.41,445,71.3,409,190.2,106,179.0,28.7
457,Friday,Jon Favreau,action,Iron Man,2/05/2008,Paramount Pictures,646.4,186.0,585.2,7.9,3.92,266.8,45.6,399.2,214.6,126,318.4,54.4
458,Friday,Marc Forster,action,Quantum of Solace,14/11/2008,Sony,647.4,230.0,586.1,6.7,3.38,417.7,71.3,356.1,154.8,106,168.4,28.7
460,Wednesday,Jay Roach,comedy,Meet the Fockers,22/12/2004,Universal,650.3,60.0,516.6,6.3,3.11,237.4,45.9,456.6,761.0,115,279.3,54.1
462,Friday,"Christopher Williams, Don Hall",animation,Big Hero 6,7/11/2014,Buena Vista Studios,655,165.0,652.1,7.9,3.82,429.6,65.9,487.1,295.2,102,222.5,34.1
463,Friday,Alan Taylor,action,Thor: The Dark World,8/11/2013,Buena Vista Studios,658.2,170.0,644.8,7.1,3.51,438.4,68.0,474.8,279.3,112,206.4,32.0
464,Wednesday,"Andy Wachowski, Lana Wachowski",action,The Matrix,31/03/1999,WB,661.6,65.0,463.5,8.7,4.19,292,63.0,398.5,613.1,136,171.5,37.0
465,Friday,Justin Lin,action,Fast Five,29/04/2011,Universal,661.9,125.0,626.1,7.3,3.44,416.3,66.5,501.1,400.9,130,209.8,33.5
466,Wednesday,Robert Zemeckis,animation,Who Framed Roger Rabbit,22/06/1988,Buena Vista Studios,663,70.0,329.8,7.7,3.52,173.4,52.6,259.8,371.1,104,156.5,47.4
470,Friday,Adrian Lyne,drama,Fatal Attraction,18/09/1987,Paramount Pictures,670.1,14.0,320.1,6.9,3.44,163.5,51.1,306.1,2186.4,119,156.6,48.9
471,Wednesday,Peter Jackson,adventure,King Kong,14/12/2005,Universal,670.3,207.0,550.5,7.3,3.34,332.4,60.4,343.5,165.9,187,218.1,39.6
472,Friday,Francis Lawrence,drama,I Am Legend,14/12/2007,WB,671.4,150.0,585.3,7.2,3.5,329,56.2,435.3,290.2,101,256.4,43.8
473,Friday,Phyllida Lloyd,comedy,Mamma Mia!,18/07/2008,Universal,673.5,52.0,609.8,6.4,3.17,465.7,76.4,557.8,1072.7,108,144.1,23.6
476,Friday,Jon Favreau,action,Iron Man 2,7/05/2010,Paramount Pictures,680.4,170.0,623.9,7.1,3.61,311.5,49.9,453.9,267.0,124,312.4,50.1
477,Friday,Kevin Reynolds,action,Robin Hood: Prince of Thieves,14/06/1991,WB,681.8,50.0,390.5,6.9,3.28,225,57.6,340.5,681.0,143,165.5,42.4
478,Friday,Zack Snyder,action,Man of Steel,14/06/2013,WB,681.9,225.0,668,7.2,3.4,377,56.4,443,196.9,143,291.0,43.6
481,Wednesday,Peter Berg,action,Hancock,2/07/2008,Sony,689.7,150.0,624.4,6.5,3.22,396.4,63.5,474.4,316.3,92,227.9,36.5
482,Friday,"John Lasseter, Lee Unkrich, Ash Brannon",animation,Toy Story 2,19/11/1999,Buena Vista Studios,692.3,90.0,485,5.9,2.53,239.2,49.3,395,438.9,92,245.9,50.7
487,Friday,Martin Campbell,action,Casino Royale,17/11/2006,Sony,706.6,102.0,599,8.0,3.85,431.6,72.0,497,487.3,144,167.4,28.0
488,Friday,Matt Reeves,action,Dawn of the Planet of the Apes,11/07/2014,Fox,712,170.0,708.8,7.7,3.61,500.3,70.6,538.8,316.9,130,208.5,29.4
489,Friday,Peter Faiman,adventure,Crocodile Dundee,26/09/1986,Paramount Pictures,712.1,5.0,328.2,6.5,3.12,153.4,46.7,323.2,6464.0,93,174.8,53.3
490,Friday,Marc Webb,action,The Amazing Spider-Man 2,2/05/2014,Sony,712.2,200.0,709,6.8,3.22,506.1,71.4,509,254.5,142,202.9,28.6
492,Friday,"Brad Bird, Jan Pinkava",animation,Ratatouille,29/06/2007,Buena Vista Studios,715.5,150.0,623.7,8.0,3.88,417.3,66.9,473.7,315.8,111,206.4,33.1
494,Friday,"Joe Russo, Anthony Russo",action,Captain America: The Winter Soldier,4/04/2014,Buena Vista Studios,718,170.0,714.8,7.8,3.72,455,63.7,544.8,320.5,136,259.8,36.3
495,Wednesday,Steven Spielberg,action,War of the Worlds,29/06/2005,Paramount Pictures,720.5,132.0,591.7,6.5,3.15,357.5,60.4,459.7,348.3,116,234.3,39.6
496,Wednesday,Martin Brest,action,Beverly Hills Cop,5/12/1984,Paramount Pictures,724.2,15.0,316.4,7.3,3.54,81.6,25.8,301.4,2009.3,105,234.8,74.2
497,Wednesday,Chris Columbus,comedy,Mrs. Doubtfire,24/11/1993,Fox,726.3,25.0,441.3,8.0,3.73,222.1,50.3,416.3,1665.2,125,219.2,49.7
498,Friday,Alfonso Cuarn,drama,Gravity,4/10/2013,WB,731.3,110.0,716.4,7.9,3.75,442.3,61.7,606.4,551.3,91,274.1,38.3
499,Friday,Brad Bird,action,Mission: Impossible - Ghost Protocol,16/12/2011,Paramount Pictures,734.4,145.0,694.7,7.4,3.64,485.3,69.9,549.7,379.1,133,209.4,30.1
500,Wednesday,"Gary Trousdale, Kirk Wise",animation,Beauty and the Beast,13/11/1991,Buena Vista Studios,742,20.0,425,7.2,3.67,206,48.5,405,2025.0,84,219.0,51.5
501,Friday,Jan de Bont,action,Twister,10/05/1996,WB,749.5,88.0,494.5,6.3,3.23,252.8,51.1,406.5,461.9,113,241.7,48.9
502,Friday,Bryan Singer,action,X-Men: Days of Future Past,23/05/2014,Fox,751.5,200.0,748.1,8.1,3.82,514.2,68.7,548.1,274.1,131,233.9,31.3
504,Wednesday,John Woo,action,Mission: Impossible II,24/05/2000,Paramount Pictures,754.6,120.0,546.4,6.0,2.96,331,60.6,426.4,355.3,123,215.4,39.4
506,Friday,"Pete Docter, Lee Unkrich, David Silverman",animation,"Monsters, Inc.",2/11/2001,Buena Vista Studios,755.7,115.0,562.8,8.1,3.88,272.9,48.5,447.8,389.4,92,289.9,51.5
507,Friday,Dan Scanlon,animation,Monsters University,21/06/2013,Buena Vista Studios,759.1,200.0,743.6,7.4,3.65,475.1,63.9,543.6,271.8,104,268.5,36.1
509,Friday,Robert Stromberg,action,Maleficent,30/05/2014,Buena Vista Studios,761.8,180.0,758.4,7.0,3.37,517,68.2,578.4,321.3,97,241.4,31.8
510,Wednesday,Steven Spielberg,action,Indiana Jones and the Temple of Doom,23/05/1984,Paramount Pictures,762.4,28.0,333.1,7.6,3.68,153.2,46.0,305.1,1089.6,118,179.9,54.0
514,Friday,Tony Scott,action,Top Gun,16/05/1986,Paramount Pictures,774.2,15.0,356.8,6.8,3.41,177,49.6,341.8,2278.7,110,179.8,50.4
515,Friday,James Gunn,action,Guardians of the Galaxy,1/08/2014,Buena Vista Studios,777.7,170.0,774.2,8.1,3.85,441,57.0,604.2,355.4,121,333.2,43.0
516,Friday,Carlos Saldanha,animation,Ice Age: The Meltdown,31/03/2006,Fox,779.6,75.0,660.9,6.9,3.35,465.6,70.4,585.9,781.2,91,195.3,29.6
517,Tuesday,Marc Webb,action,The Amazing Spider-Man,3/07/2012,Sony,785,230.0,757.9,7.1,3.22,495.9,65.4,527.9,229.5,136,262.0,34.6
